x1, y1, c1, x2, y2, c2
244.77029, 1084.0162, 5.6429901, 218.34938, 1516.4196, 21.0891
244.83553, 1083.87, 5.5977373, 218.22438, 1516.6306, 20.430576
244.89952, 1083.7163, 5.7862377, 218.31508, 1516.4072, 20.399935
244.93642, 1083.5569, 5.7619281, 218.2594, 1516.6947, 22.215389
245.00134, 1083.3921, 5.7624569, 219.37932, 1515.9867, 21.810383
245.04916, 1083.2261, 5.7884331, 219.4828, 1516.0979, 21.645315
245.10522, 1083.0173, 5.8992586, 219.3588, 1515.7294, 21.414297
245.21515, 1082.8163, 5.8067379, 219.94502, 1515.5497, 21.010752
245.24428, 1082.6149, 5.8351359, 219.6982, 1515.3569, 21.342333
245.3252, 1082.4261, 5.8815851, 219.7224, 1515.4667, 21.618067
245.36594, 1082.229, 6.1374836, 219.56636, 1515.2229, 21.663105
245.40596, 1082.0315, 5.9424601, 219.4753, 1515.3331, 21.500174
245.46461, 1081.8245, 5.861661, 219.4648, 1515.3912, 22.030756
245.51027, 1081.6682, 5.9066839, 219.26674, 1515.556, 20.560921
245.52487, 1081.4933, 6.0072012, 219.31793, 1515.4836, 21.793545
245.5665, 1081.2666, 6.0823097, 219.52237, 1514.214, 21.426493
245.56227, 1081.098, 6.1349163, 219.40912, 1513.9608, 21.796021
245.60753, 1080.906, 5.9782062, 219.41014, 1513.99, 21.769562
245.62508, 1080.7157, 6.075058, 219.42395, 1513.9878, 22.081436
245.62393, 1080.5248, 6.0896668, 219.43123, 1513.9497, 21.447042
245.63417, 1080.3158, 5.9931479, 219.49014, 1514.0377, 22.356388
245.69351, 1080.0571, 6.0154543, 220.15126, 1514.0099, 21.003973
245.7198, 1079.8016, 5.9700665, 220.41364, 1513.9128, 21.567713
245.71703, 1079.5739, 6.0516362, 220.52298, 1513.4236, 21.213396
245.73476, 1079.3607, 5.9596052, 220.70094, 1513.7393, 21.203379
245.73506, 1079.1276, 6.180305, 220.82782, 1513.5798, 21.275839
245.74112, 1078.907, 5.9995575, 220.86224, 1513.5862, 20.776237
245.73798, 1078.652, 6.020988, 220.65094, 1513.7227, 20.615185
245.76836, 1078.3829, 6.099422, 220.96875, 1513.0331, 20.843668
245.73135, 1078.1251, 6.0508752, 220.74521, 1513.5962, 20.530975
245.71698, 1077.8895, 6.1495285, 220.85306, 1513.6754, 20.705564
245.73586, 1077.6636, 6.0117664, 220.94147, 1513.2148, 21.139994
245.75635, 1077.399, 6.1304688, 220.85681, 1512.7233, 20.898706
245.75682, 1077.1689, 5.9468441, 220.50745, 1512.7517, 21.058533
245.79312, 1076.9186, 6.0711617, 220.77313, 1512.7639, 21.142042
245.73285, 1076.6963, 6.0329618, 220.86877, 1512.9309, 21.37505
245.75084, 1076.442, 5.9694333, 220.70197, 1512.8695, 21.001913
245.75609, 1076.145, 6.0882049, 220.63408, 1512.8684, 21.157896
245.73758, 1075.8544, 5.9591079, 220.88123, 1512.7899, 21.37228
245.72437, 1075.5892, 5.96807, 220.63812, 1512.7941, 21.303246
245.72049, 1075.3049, 5.9952111, 220.69139, 1512.7913, 20.868853
245.70464, 1075.0017, 6.0038157, 220.69641, 1512.6555, 21.596661
245.69063, 1074.6963, 5.9663148, 220.61729, 1512.7173, 21.407379
245.69576, 1074.3799, 6.057622, 220.72131, 1512.712, 20.927624
245.70999, 1074.0856, 5.9846597, 220.7782, 1512.7367, 20.770271
245.711, 1073.7925, 5.9571233, 220.91821, 1512.431, 20.934471
245.69896, 1073.6042, 5.8906446, 220.82637, 1512.4369, 21.164326
245.71823, 1073.2738, 6.0320673, 220.82016, 1512.4823, 20.91296
245.70465, 1072.9196, 5.9939351, 221.08603, 1513.0005, 21.080976
245.73201, 1072.6196, 5.9170461, 221.0275, 1512.8146, 21.842182
245.69572, 1072.2977, 5.9932861, 221.14339, 1512.7552, 20.73295
245.70889, 1072.0358, 5.8947072, 221.10971, 1512.7635, 21.263664
245.72069, 1071.7771, 5.8250246, 221.25829, 1512.8761, 21.446609
245.7435, 1071.5353, 5.8323083, 221.571, 1513.1821, 21.592855
245.71541, 1071.2262, 5.8646593, 221.20181, 1512.7721, 20.920502
245.72028, 1070.9259, 5.8765125, 221.2684, 1512.6584, 21.463484
245.68909, 1070.6521, 5.8185859, 220.97418, 1512.6392, 21.60091
245.72424, 1070.3438, 5.8444319, 220.99199, 1512.5917, 21.660488
245.6718, 1070.0731, 5.8116164, 220.79333, 1512.6074, 21.463238
245.68481, 1069.7771, 6.0135236, 221.01221, 1512.6274, 21.752512
245.70627, 1069.4381, 5.9034095, 220.85715, 1512.6715, 21.704075
245.72418, 1069.1516, 5.8226099, 221.25664, 1512.6254, 21.433346
245.68602, 1068.8325, 5.9069462, 220.93887, 1512.5695, 21.324638
245.70552, 1068.4771, 5.7587914, 220.73665, 1512.7877, 21.553587
245.6927, 1068.2322, 5.663115, 220.80524, 1512.6957, 21.953762
245.69356, 1067.9843, 5.892345, 220.84003, 1512.949, 21.282238
245.69162, 1067.6331, 5.8541813, 220.62965, 1512.8035, 21.379448
245.68166, 1067.3212, 5.7886071, 220.58383, 1512.5542, 21.697773
245.66193, 1067.0498, 5.8763046, 220.29085, 1513.0396, 21.173105
245.65649, 1066.7881, 5.8281541, 220.30183, 1512.7725, 21.310518
245.65265, 1066.4669, 5.8006859, 220.48985, 1513.1155, 21.230459
245.65273, 1066.1833, 5.7195258, 220.34756, 1513.1095, 21.032963
245.63597, 1065.8636, 5.735702, 220.34312, 1513.0359, 20.931461
245.6633, 1065.6366, 5.7373037, 220.34424, 1513.1124, 21.853312
245.64806, 1065.222, 5.7529316, 220.39247, 1513.2065, 21.18856
245.61714, 1064.9865, 5.6874495, 220.44144, 1513.3234, 21.318537
245.64606, 1064.6405, 5.7810531, 220.49471, 1512.9401, 21.628658
245.65135, 1064.3051, 5.7446895, 220.38979, 1513.39, 21.98888
245.64896, 1064.0032, 5.7099428, 220.95821, 1513.5267, 21.705757
245.64775, 1063.752, 5.5379028, 221.18716, 1513.4487, 21.152023
245.64911, 1063.4572, 5.6613269, 221.23999, 1513.4792, 21.653673
245.63124, 1063.1381, 5.6337972, 220.75607, 1513.1156, 21.222006
245.65547, 1062.8247, 5.6262417, 220.7189, 1513.4827, 21.686935
245.64178, 1062.5105, 5.6614051, 220.45837, 1513.4591, 21.639233
245.63583, 1062.207, 5.5488305, 220.41664, 1513.6835, 21.812538
245.59673, 1061.8923, 5.568716, 220.47589, 1513.2131, 21.363049
245.59506, 1061.6288, 5.5993915, 220.45998, 1513.3079, 21.696684
245.59264, 1061.3099, 5.6216793, 220.37662, 1513.4231, 21.393524
245.59402, 1061.0049, 5.6808581, 221.24362, 1513.3682, 20.867376
245.60281, 1060.6744, 5.5997448, 220.97333, 1513.4564, 21.888824
245.60791, 1060.3274, 5.573947, 221.20412, 1513.3262, 21.027248
245.64868, 1060.0283, 5.612771, 220.84181, 1513.4022, 21.736858
245.61552, 1059.7667, 5.5227323, 220.36362, 1513.3534, 21.451664
245.62874, 1059.4475, 5.6325707, 220.28098, 1513.5568, 21.960403
245.6127, 1059.1304, 5.6267667, 220.70161, 1513.4011, 21.843702
245.59068, 1058.8522, 5.6059875, 220.31462, 1513.0331, 21.479843
245.61986, 1058.5405, 5.6545262, 220.32381, 1513.075, 21.760214
245.62628, 1058.2429, 5.6270304, 220.30199, 1513.1412, 22.182203
245.60658, 1057.9502, 5.547152, 220.34343, 1513.3022, 21.899542
245.60245, 1057.653, 5.4776368, 220.36241, 1513.0508, 21.765816
245.61739, 1057.3555, 5.5885835, 220.44733, 1513.1857, 21.581007
245.63741, 1057.045, 5.5658464, 220.24818, 1513.0574, 22.038378
245.60139, 1056.781, 5.4846787, 220.6496, 1513.3606, 21.67717
245.58701, 1056.4917, 5.5428429, 220.47806, 1513.3461, 21.347128
245.58533, 1056.1401, 5.6175556, 220.53136, 1512.8037, 21.182255
245.57042, 1055.8209, 5.5526786, 220.47441, 1513.3354, 21.570742
245.57999, 1055.5104, 5.5284224, 220.46071, 1513.4646, 21.774742
245.58121, 1055.186, 5.5654821, 220.63037, 1513.4523, 21.663866
245.56223, 1054.8683, 5.5026741, 220.63036, 1513.6, 20.955448
245.57578, 1054.5795, 5.5520701, 220.34799, 1513.308, 22.344337
245.55963, 1054.2795, 5.6662464, 220.6897, 1513.1227, 21.077187
245.55135, 1053.9412, 5.5486884, 220.28329, 1513.0461, 22.027632
245.56555, 1053.6339, 5.597084, 220.5271, 1512.9731, 21.421976
245.55499, 1053.3143, 5.4040513, 220.28413, 1513.1055, 21.052364
245.571, 1053.0074, 5.4487033, 220.317, 1513.123, 20.678041
245.54826, 1052.7566, 5.5557265, 220.13731, 1513.5781, 22.277214
245.56219, 1052.4459, 5.462564, 220.21318, 1513.066, 20.983114
245.54861, 1052.0903, 5.5087113, 220.2084, 1513.566, 20.9596
245.52927, 1051.7728, 5.5324965, 220.14139, 1513.6469, 21.515446
245.53464, 1051.5072, 5.6162276, 220.15309, 1513.5598, 21.682384
245.53609, 1051.1619, 5.419806, 220.27505, 1513.4095, 21.220293
245.55562, 1050.9091, 5.528976, 220.32301, 1513.5737, 21.036999
245.5472, 1050.5498, 5.517859, 220.23534, 1513.603, 21.137133
245.53923, 1050.214, 5.4465814, 220.1945, 1513.1786, 21.428579
245.5442, 1049.8997, 5.5712056, 220.14249, 1513.6654, 21.384575
245.54128, 1049.5985, 5.4668689, 220.23061, 1512.7375, 21.610825
245.57222, 1049.2554, 5.3215971, 220.22192, 1513.1398, 20.791082
245.55333, 1048.9288, 5.4523458, 220.53954, 1513.4706, 21.605381
245.54764, 1048.6755, 5.4507637, 220.22685, 1513.3976, 20.978899
245.51128, 1048.3937, 5.4310312, 220.34734, 1513.4481, 20.8444
245.49181, 1048.0743, 5.4215846, 220.26585, 1513.2377, 21.462406
245.48723, 1047.7728, 5.4533839, 220.26073, 1513.5703, 21.265724
245.49451, 1047.4237, 5.3811316, 220.19804, 1513.5311, 20.039532
245.50525, 1047.1212, 5.3080087, 220.34973, 1513.2455, 21.299765
245.51056, 1046.8127, 5.3591666, 220.17429, 1513.4166, 21.287424
245.4953, 1046.4902, 5.452579, 220.20738, 1513.3958, 20.642546
245.50531, 1046.1865, 5.3458409, 220.44266, 1513.3875, 21.099667
245.50095, 1045.8729, 5.4695988, 220.46019, 1513.5018, 21.939793
245.50363, 1045.5554, 5.4533229, 220.44925, 1513.4325, 21.499508
245.49956, 1045.2869, 5.4665709, 220.41597, 1513.3253, 21.137218
245.51352, 1044.9725, 5.3158774, 220.39542, 1513.1626, 21.499586
245.50943, 1044.6686, 5.3881016, 220.30064, 1513.7701, 21.02916
245.50502, 1044.3492, 5.3729367, 220.39474, 1513.4989, 20.963276
245.50082, 1044.067, 5.4153914, 220.34682, 1513.3405, 21.32909
245.48132, 1043.7588, 5.4529648, 220.37242, 1513.4615, 21.726864
245.4774, 1043.4567, 5.1909714, 220.32593, 1513.405, 20.906141
245.50131, 1043.166, 5.3763227, 220.27226, 1513.4683, 21.240017
245.51477, 1042.8488, 5.399178, 220.24837, 1513.6985, 20.714802
245.50642, 1042.5653, 5.3551645, 220.25557, 1513.7374, 20.889528
245.5054, 1042.21, 5.2994671, 220.37521, 1513.3727, 21.643717
245.50165, 1041.8616, 5.314497, 220.42163, 1513.4543, 21.695889
245.49677, 1041.558, 5.4219675, 220.24347, 1513.665, 21.001205
245.49156, 1041.1841, 5.4614072, 220.26906, 1513.4728, 20.398775
245.52412, 1040.9064, 5.3459949, 220.31851, 1513.1641, 21.019314
245.55202, 1040.6118, 5.2759314, 220.25554, 1513.2272, 21.040499
245.5168, 1040.2808, 5.3577313, 220.16605, 1513.6912, 21.636641
245.52385, 1039.9432, 5.2965541, 220.33621, 1513.5002, 21.14357
245.5069, 1039.6626, 5.3484015, 220.14236, 1513.7877, 20.699116
245.4794, 1039.3571, 5.2917137, 220.46324, 1513.452, 21.223288
245.50204, 1039.0078, 5.3127885, 220.30293, 1513.5112, 21.026472
245.46799, 1038.7378, 5.3347821, 220.19856, 1513.7324, 21.01409
245.41579, 1038.4498, 5.4723506, 220.33192, 1513.2977, 20.253746
245.43446, 1038.0875, 5.3567762, 220.28392, 1513.7261, 21.512972
245.42331, 1037.7944, 5.5967236, 220.26712, 1513.5383, 20.719639
245.44324, 1037.4913, 5.4472542, 220.42749, 1513.3878, 20.757854
245.43896, 1037.1532, 5.2757521, 220.18245, 1513.4609, 20.809748
245.42786, 1036.8452, 5.3961992, 220.24419, 1513.6128, 21.476059
245.4351, 1036.5231, 5.3741808, 220.21512, 1513.5973, 20.747766
245.44342, 1036.1969, 5.3620219, 220.19742, 1513.4365, 20.498682
245.43057, 1035.9025, 5.450068, 220.17395, 1513.5988, 20.467154
245.45325, 1035.5944, 5.4670224, 220.17432, 1513.5746, 20.720991
245.45782, 1035.2504, 5.3624597, 220.25096, 1513.3646, 21.264822
245.45471, 1034.9529, 5.5045128, 220.27626, 1513.4358, 21.561508
245.42264, 1034.6252, 5.3965521, 220.32359, 1513.4495, 21.468512
245.4236, 1034.3435, 5.355814, 220.31004, 1513.4573, 21.235271
245.43861, 1034.0294, 5.3532562, 220.24951, 1513.5188, 20.780203
245.4384, 1033.726, 5.3491139, 220.368, 1513.4034, 21.173115
245.38945, 1033.3932, 5.3793001, 220.27425, 1513.5267, 20.650568
245.39655, 1033.0458, 5.4909663, 220.22646, 1513.3646, 21.550875
245.39528, 1032.7413, 5.3079534, 220.20599, 1513.4614, 20.964697
245.39159, 1032.4354, 5.3309226, 220.47687, 1513.3555, 20.819275
245.36688, 1032.1123, 5.3893518, 220.19415, 1513.7216, 20.303978
245.38632, 1031.817, 5.3517728, 220.32878, 1513.3811, 21.090336
245.40996, 1031.4641, 5.4153457, 220.21306, 1513.4547, 20.675602
245.39793, 1031.1818, 5.1983013, 220.20763, 1513.6638, 20.782309
245.39513, 1030.8442, 5.3833265, 220.28569, 1513.5104, 20.563591
245.3912, 1030.5333, 5.2926664, 220.179, 1513.5658, 20.900753
245.3696, 1030.193, 5.2925816, 220.25996, 1513.1678, 20.817665
245.3486, 1029.8728, 5.2735262, 220.16817, 1513.5996, 20.819361
245.34221, 1029.5383, 5.3397474, 220.20175, 1513.4861, 20.939236
245.34189, 1029.2216, 5.2728524, 220.25436, 1513.4105, 20.678274
245.31917, 1028.9296, 5.2256436, 220.18594, 1513.6195, 21.171646
245.32759, 1028.6283, 5.4304104, 220.43509, 1513.5106, 21.110443
245.32603, 1028.2968, 5.3378606, 220.15634, 1513.8113, 20.498333
245.31601, 1027.972, 5.4204235, 220.41698, 1513.6226, 20.478775
245.29517, 1027.646, 5.2737713, 220.34253, 1513.5564, 20.406752
245.2912, 1027.308, 5.3612905, 220.11658, 1513.5051, 20.859133
245.27373, 1027.0321, 5.3164644, 220.52678, 1513.4341, 20.851713
245.25002, 1026.6925, 5.2317796, 220.528, 1513.4902, 20.535564
245.255, 1026.3608, 5.265161, 220.41118, 1513.6439, 21.61861
245.24162, 1026.0284, 5.3824043, 220.3441, 1513.5924, 20.933867
245.24333, 1025.7159, 5.3083534, 220.24051, 1513.7155, 21.16997
245.22841, 1025.3959, 5.293705, 220.21288, 1513.6388, 20.889908
245.22774, 1025.0598, 5.2867656, 220.12245, 1513.8197, 20.299776
245.24448, 1024.746, 5.2267132, 220.23999, 1513.4404, 20.551914
245.23656, 1024.4147, 5.3649874, 220.38544, 1513.6688, 21.275595
245.21001, 1024.113, 5.4044752, 220.27196, 1513.4569, 21.362749
245.1884, 1023.8046, 5.3292217, 220.72995, 1513.6855, 21.113304
245.20517, 1023.4584, 5.3936481, 220.28102, 1513.8254, 21.509567
245.21706, 1023.1093, 5.3529096, 220.25243, 1513.3474, 20.449619
245.21504, 1022.7828, 5.4276395, 220.40662, 1513.5287, 21.25918
245.15256, 1022.5015, 5.3694696, 220.18086, 1513.3008, 21.289572
245.16547, 1022.1642, 5.2254472, 220.31245, 1513.53, 21.294601
245.13237, 1021.8851, 5.3429918, 220.1026, 1513.9951, 21.567661
245.12282, 1021.5735, 5.4441977, 220.16013, 1513.626, 21.298893
245.09128, 1021.2459, 5.3013644, 220.35796, 1513.6573, 21.222445
245.09491, 1020.8945, 5.3995113, 220.25771, 1513.7297, 20.910719
245.08122, 1020.5927, 5.3405228, 220.56174, 1513.6818, 20.93329
245.06342, 1020.2217, 5.1521683, 220.53574, 1513.3822, 21.294422
245.07428, 1019.8921, 5.3583655, 219.87935, 1513.0831, 21.167828
245.08354, 1019.5716, 5.3514476, 220.41534, 1513.3619, 20.623922
245.05263, 1019.2562, 5.2861524, 220.49533, 1513.4379, 20.825039
245.02054, 1018.9379, 5.3778257, 220.49469, 1513.3314, 21.967201
245.03659, 1018.6224, 5.5045667, 220.17978, 1513.6851, 21.249914
245.04616, 1018.2585, 5.3553371, 220.40341, 1513.8462, 22.122231
245.02602, 1017.95, 5.4175196, 220.97281, 1513.6586, 21.49807
245.01025, 1017.6417, 5.2305984, 220.40985, 1513.5175, 21.01483
244.99866, 1017.2679, 5.359961, 220.44907, 1513.1797, 21.282797
244.98137, 1016.896, 5.4292345, 220.55936, 1513.4929, 21.362917
244.95897, 1016.5845, 5.3359165, 220.6655, 1513.4882, 21.849619
244.95694, 1016.2425, 5.2595787, 220.74637, 1513.4733, 21.293839
244.92891, 1015.9598, 5.3564224, 220.63255, 1513.6366, 21.285742
244.92213, 1015.6626, 5.3342538, 220.68274, 1513.603, 21.126289
244.92517, 1015.3268, 5.2120233, 220.66098, 1513.5654, 21.404978
244.90041, 1014.9772, 5.4226213, 220.55606, 1513.5474, 21.601543
244.89684, 1014.6592, 5.2152653, 220.505, 1513.5586, 22.005995
244.85387, 1014.3246, 5.3088875, 220.48906, 1513.4409, 21.115538
244.8324, 1013.9962, 5.4166036, 220.59999, 1513.3672, 21.251295
244.8385, 1013.6711, 5.3045921, 220.65973, 1513.5354, 21.468674
244.81531, 1013.3575, 5.3046751, 220.63, 1513.5082, 21.762205
244.79453, 1013.0349, 5.2293739, 220.53894, 1513.4965, 21.267199
244.78177, 1012.7115, 5.2729793, 220.58826, 1513.5284, 21.221401
244.75328, 1012.3632, 5.3086119, 220.57002, 1513.5685, 21.332531
244.76108, 1012.0598, 5.3741837, 220.12273, 1512.9401, 20.999605
244.74442, 1011.7072, 5.3508792, 220.35085, 1513.2928, 21.397139
244.75542, 1011.3637, 5.2613015, 220.03842, 1513.0565, 20.725929
244.73448, 1011.0331, 5.1304731, 220.24585, 1513.1438, 21.052382
244.69942, 1010.686, 5.1992354, 219.61313, 1512.7974, 20.555437
244.68929, 1010.3373, 5.2356439, 219.75446, 1512.6238, 21.268616
244.6745, 1010.0289, 5.3588228, 219.8344, 1512.7201, 21.327049
244.6557, 1009.6667, 5.2455235, 219.82912, 1512.584, 21.803997
244.65274, 1009.3545, 5.2284098, 219.65884, 1512.6924, 21.509884
244.62976, 1009.0093, 5.2137423, 219.70201, 1512.6064, 20.34939
244.61247, 1008.7045, 5.1938872, 219.66934, 1512.6912, 21.138203
244.5975, 1008.3654, 5.2365069, 219.55147, 1512.6992, 21.440411
244.59256, 1008.0384, 5.2315092, 219.84027, 1513.0236, 21.372387
244.5957, 1007.7035, 5.349452, 219.80521, 1513.1699, 20.879574
244.58141, 1007.3682, 5.1470213, 219.63992, 1513.2062, 20.835884
244.56187, 1007.0411, 5.197948, 219.70979, 1513.5056, 21.039978
244.56425, 1006.7307, 5.1999102, 219.75713, 1513.4313, 21.220278
244.53331, 1006.4206, 5.1811619, 219.73154, 1513.5675, 21.400311
244.52852, 1006.13, 5.318994, 219.59047, 1513.6864, 21.105183
244.49867, 1005.733, 5.1558309, 219.63879, 1513.5657, 21.385519
244.47987, 1005.3699, 5.2836986, 219.80852, 1513.231, 21.435192
244.48845, 1005.0335, 5.3261471, 219.74945, 1513.2279, 21.531475
244.46414, 1004.7374, 5.3276396, 219.54015, 1513.6992, 20.815928
244.43965, 1004.3805, 5.4259539, 219.68436, 1513.7191, 20.99267
244.42467, 1004.0048, 5.4207382, 219.69615, 1513.5419, 21.322031
244.42764, 1003.6101, 5.5037847, 219.42744, 1513.4666, 21.247149
244.44589, 1003.1854, 5.3338995, 219.68669, 1513.4744, 21.885704
239.84517, 1009.4992, 26.782606, 217.94774, 1514.5208, 27.373259
240.09572, 1010.394, 26.69655, 217.92857, 1514.5112, 28.225195
