x1, y1, c1, x2, y2, c2
252, 1085, 0, 249, 1488, 0
251.96461, 1084.9214, 2.4322224, 248.99831, 1487.9058, 2.5903304
251.9882, 1084.8867, 2.3575628, 248.99484, 1487.8678, 2.5661037
251.94118, 1084.8472, 2.4338124, 248.93102, 1487.8165, 2.634692
251.91324, 1084.9058, 2.4628563, 248.91953, 1487.8896, 2.495543
251.90698, 1084.8457, 2.4771776, 248.90872, 1487.8304, 2.6432679
251.92351, 1084.8719, 2.4512076, 248.92935, 1487.8489, 2.6234345
251.95496, 1084.8357, 2.4699991, 248.9537, 1487.8387, 2.5684593
252.22241, 1084.0195, 2.3699696, 249.26027, 1487.0103, 2.4766016
254.27196, 1083.0923, 2.4633739, 250.21928, 1486.1136, 2.5656927
254.30222, 1083.1161, 2.4483743, 250.2562, 1486.1331, 2.5276062
254.32124, 1083.158, 2.5173032, 250.27559, 1486.1671, 2.5805423
254.31422, 1083.0925, 2.460391, 250.25937, 1486.1248, 2.5703347
254.39069, 1082.9425, 2.4438598, 250.35255, 1485.9935, 2.5389802
254.43219, 1082.7772, 2.6344249, 250.38031, 1485.8578, 2.588624
254.47397, 1082.6395, 2.7238717, 250.4216, 1485.7393, 2.7950063
254.52409, 1082.5181, 2.8478801, 250.47441, 1485.6443, 2.9007232
254.5687, 1082.3773, 2.7730243, 250.49652, 1485.5223, 3.0222626
254.62004, 1082.2255, 2.5412748, 250.5338, 1485.4309, 3.0264826
254.61104, 1081.9751, 2.5219769, 250.53712, 1485.2483, 2.7333691
254.59915, 1081.7532, 2.6318059, 250.52194, 1485.1115, 2.6416295
254.59244, 1081.6169, 2.7542057, 250.51198, 1484.9919, 2.5767791
254.58826, 1081.4971, 2.8035953, 250.4971, 1484.8833, 2.677417
254.56851, 1081.3322, 2.7721553, 250.51172, 1484.757, 2.8085294
254.59694, 1081.2076, 2.6120951, 250.51965, 1484.6902, 2.9257898
254.55522, 1080.9512, 2.5216153, 250.50772, 1484.5249, 3.0133045
254.56711, 1080.7592, 2.7299297, 250.5256, 1484.4061, 2.9601207
254.54677, 1080.657, 2.7274902, 250.49878, 1484.3762, 2.9423101
254.56941, 1080.4885, 2.8986771, 250.50407, 1484.2523, 2.7634428
254.59387, 1080.2792, 2.6547413, 250.54495, 1484.0913, 2.6134055
254.61501, 1080.1995, 2.5798838, 250.56639, 1484.0492, 2.5708981
254.67032, 1080.0457, 2.5158336, 250.63319, 1483.9564, 2.6291394
254.76358, 1079.8472, 2.5921152, 250.73909, 1483.824, 2.6922679
254.71518, 1079.765, 2.6904726, 250.7076, 1483.803, 2.7143056
254.91068, 1079.5674, 2.8057218, 250.91351, 1483.6537, 2.8851817
255.04436, 1079.47, 2.8272676, 251.06894, 1483.6035, 2.9123261
255.14665, 1079.2938, 2.7611377, 251.17831, 1483.4962, 2.9958971
255.24185, 1079.1672, 2.4984789, 251.29822, 1483.4561, 3.0030696
255.34932, 1078.9813, 2.6611624, 251.40956, 1483.3436, 2.9275413
255.43028, 1078.7942, 2.7102497, 251.5154, 1483.2458, 2.877208
255.4969, 1078.6099, 2.8414092, 251.59462, 1483.1179, 2.6776333
255.57654, 1078.462, 2.9144084, 251.68756, 1483.0375, 2.6897717
